date,tsp_name,loc,tsq
"October 4, 2017 10:05 PM CT",BayGas Storage,BG-1003,133206
"October 4, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 4, 2017 10:05 PM CT",BayGas Storage,BG-1013,119788
"October 3, 2017 10:05 PM CT",BayGas Storage,BG-1002,64692
"October 3, 2017 10:05 PM CT",BayGas Storage,BG-1003,100000
"October 3, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 3, 2017 10:05 PM CT",BayGas Storage,BG-1013,144726
"October 2, 2017 10:05 PM CT",BayGas Storage,BG-1002,77724
"October 2, 2017 10:05 PM CT",BayGas Storage,BG-1003,88578
"October 2, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 2, 2017 10:05 PM CT",BayGas Storage,BG-1013,129762
"October 1, 2017 10:05 PM CT",BayGas Storage,BG-1002,90285
"October 1, 2017 10:05 PM CT",BayGas Storage,BG-1003,107328
"October 1, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 1, 2017 10:05 PM CT",BayGas Storage,BG-1013,129762
"October 30, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,-83110
"October 29, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,28467
"October 28, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,28467
"October 27, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,36805
"October 26, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,-93873
"October 25, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,29939
"October 24, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,-43798
"October 23, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,35140
"October 22, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,68270
"October 21, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,68270
"October 20, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,34394
"October 19, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,67202
"October 18, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,42896
"October 17, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,45914
"October 16, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,70019
"October 15, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,70019
"October 14, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,70019
"October 13, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,53809
"October 12, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,-6933
"October 11, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,22382
"October 10, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,53734
"October 9, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,22948
"October 8, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,46156
"October 7, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,46156
"October 6, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,46156
"October 5, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,38963
"October 4, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,72207
"October 3, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,66827
"October 2, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,74999
"October 1, 2017 10:05 PM CT",East Cheyenne Gas Storage,029734466,5000
